id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_7h30m,0.64,0.99,1.2,1.44,1.71,7.42,14.48,19.34,29.06
0.csv_Day7_8h00m,1.02,1.6,1.99,2.28,2.77,8.35,14.91,27.07,44.4
0.csv_Day7_8h30m,1.72,2.89,3.36,3.67,4.88,12.37,22.89,31.76,44.4
0.csv_Day7_9h00m,2.14,3.48,4.95,6.74,9.46,12.52,15.63,29.91,44.7
0.csv_Day7_9h30m,2.81,4.02,5.48,7.51,10.23,15.89,17.67,30.17,47.67
0.csv_Day7_10h00m,6.59,10.55,12.59,13.98,15.91,20.3,26.42,32.6,52.02
0.csv_Day7_10h30m,7.17,11.16,13.19,14.64,16.55,20.45,29.77,35.07,52.02
0.csv_Day7_11h00m,7.26,11.18,13.27,14.71,16.9,22.52,33.08,34.8,52.02
0.csv_Day7_11h30m,5.14,8.36,10.55,12.08,14.47,18.45,32.57,30.72,50.4
0.csv_Day7_12h00m,5.46,8.76,10.95,12.39,14.52,19.6,25.66,30.68,50.41
0.csv_Day7_12h30m,7.26,11.17,13.24,14.66,16.65,20.61,29.81,34.44,52.02
0.csv_Day7_13h00m,6.31,9.98,11.98,13.59,15.74,21.32,28.89,32.88,52.02
0.csv_Day7_13h30m,2.92,4.37,6.59,9.16,12.91,20.14,20.17,29.56,49.03
0.csv_Day7_14h00m,4.67,7.14,9.49,10.41,12.73,16.92,21.31,30.0,48.65
0.csv_Day7_14h30m,5.11,8.24,10.41,12.14,14.17,16.84,23.84,30.43,48.58
0.csv_Day7_15h00m,5.07,8.22,10.36,12.07,13.8,16.6,22.29,30.36,48.58
0.csv_Day7_15h30m,2.81,3.96,5.3,6.38,8.41,13.26,16.32,28.65,44.03
0.csv_Day7_16h00m,1.96,3.21,4.18,4.85,6.88,10.32,14.66,27.35,42.09
0.csv_Day7_16h30m,0.62,0.98,1.22,1.45,1.62,5.78,14.66,26.94,42.19
0.csv_Day7_17h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
0.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,3.28,8.56,15.01,26.32
