id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,1.08,1.76,5.33,3.5,4.82,8.42,8.08,8.49,12.71
0.csv_Day7_8h00m,1.77,2.36,3.98,4.64,7.67,7.85,15.28,15.4,26.59
0.csv_Day7_8h30m,3.53,4.42,6.83,9.1,12.7,15.59,18.89,22.79,33.28
0.csv_Day7_9h00m,5.52,12.01,14.04,15.37,18.67,12.98,15.57,18.68,35.56
0.csv_Day7_9h30m,7.8,15.85,16.42,20.53,22.1,18.66,15.9,18.08,33.38
0.csv_Day7_10h00m,14.32,25.59,24.41,26.68,28.58,30.24,29.39,27.54,30.25
0.csv_Day7_10h30m,15.17,24.34,24.24,29.08,32.05,33.98,33.23,31.53,34.45
0.csv_Day7_11h00m,15.61,27.88,27.99,33.26,36.22,37.8,36.95,35.43,35.62
0.csv_Day7_11h30m,12.28,22.64,23.37,26.4,28.96,27.82,34.0,28.48,33.13
0.csv_Day7_12h00m,12.58,23.58,24.3,26.78,28.18,29.9,27.41,27.97,30.2
0.csv_Day7_12h30m,15.22,25.41,26.39,30.81,32.94,34.24,33.35,32.74,34.11
0.csv_Day7_13h00m,13.88,24.85,26.56,28.82,30.21,33.14,32.34,29.92,32.25
0.csv_Day7_13h30m,8.28,18.45,21.97,24.58,25.35,21.3,19.61,23.6,32.12
0.csv_Day7_14h00m,11.16,21.59,22.17,22.77,24.68,24.02,21.82,24.68,26.66
0.csv_Day7_14h30m,12.06,21.62,25.82,25.71,26.36,24.14,24.53,25.54,25.04
0.csv_Day7_15h00m,12.06,19.93,23.16,24.07,24.19,22.97,22.18,23.39,24.27
0.csv_Day7_15h30m,7.54,14.47,16.29,17.63,16.99,14.5,14.24,16.19,19.93
0.csv_Day7_16h00m,3.9,8.27,10.14,8.79,9.12,10.1,8.09,10.35,14.97
0.csv_Day7_16h30m,0.92,2.76,4.19,2.47,3.04,5.77,6.32,3.5,11.59
