id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,1.1,5.06,5.65,5.68,8.54,9.04,8.56,7.57,11.23
0.csv_Day7_8h00m,2.07,2.23,4.14,6.72,10.03,10.43,12.64,16.86,24.42
0.csv_Day7_8h30m,3.85,4.29,6.41,9.19,13.14,15.34,18.71,22.47,31.7
0.csv_Day7_9h00m,6.58,12.26,14.9,14.88,17.09,13.01,16.03,18.85,35.25
0.csv_Day7_9h30m,9.29,16.35,16.83,20.48,22.05,19.06,17.21,16.06,33.82
0.csv_Day7_10h00m,16.81,27.65,26.76,26.33,30.82,29.93,28.4,28.01,30.5
0.csv_Day7_10h30m,18.09,25.75,25.75,29.52,32.77,32.9,31.84,31.6,32.13
0.csv_Day7_11h00m,18.47,28.75,28.68,35.1,38.08,38.48,37.9,34.43,35.42
0.csv_Day7_11h30m,13.98,22.5,23.01,27.16,28.87,29.05,35.14,26.7,34.74
0.csv_Day7_12h00m,14.31,22.17,24.11,27.52,28.87,29.48,27.66,27.24,30.07
0.csv_Day7_12h30m,17.97,26.48,28.29,30.86,34.05,34.51,32.32,33.85,34.49
0.csv_Day7_13h00m,15.81,24.17,27.33,29.9,32.27,31.94,30.05,30.67,32.34
0.csv_Day7_13h30m,9.66,17.83,21.27,23.77,25.98,21.61,20.82,23.92,39.06
0.csv_Day7_14h00m,12.01,22.12,22.18,23.91,26.35,24.59,20.81,24.67,25.93
0.csv_Day7_14h30m,13.66,19.51,24.77,26.13,25.93,23.93,23.72,24.92,24.72
0.csv_Day7_15h00m,13.48,19.18,23.46,22.57,24.24,23.45,22.13,23.63,24.55
0.csv_Day7_15h30m,8.54,14.08,16.54,16.99,16.07,14.89,12.91,15.82,19.27
0.csv_Day7_16h00m,4.46,7.48,10.02,7.68,9.74,9.53,7.14,9.38,17.67
0.csv_Day7_16h30m,0.91,3.48,3.22,3.19,5.66,5.88,3.12,0.48,13.55
